key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
42,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,22,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,36,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,35,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,15,60,2,10,1,5,3,15,4,10,0,0,0,0,0,0
48,15,60,2,10,1,5,3,15,4,10,0,0,0,0,0,0
49,16,20,15,40,2,10,1,5,3,15,4,10,0,0,0,0
50,3,10,4,10,9,10,11,10,1,30,2,30,0,0,0,0
51,3,10,4,10,7,10,8,10,1,30,2,30,0,0,0,0
52,3,10,6,10,50,20,1,30,2,30,0,0,0,0,0,0
53,1,30,2,30,3,10,4,10,5,10,49,10,0,0,0,0
54,2,35,3,35,9,30,0,0,0,0,0,0,0,0,0,0
55,3,10,4,10,7,10,8,10,1,30,2,30,0,0,0,0
56,44,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,51,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,4,15,7,25,2,60,0,0,0,0,0,0,0,0,0,0
60,2,40,4,35,5,20,49,4,54,1,0,0,0,0,0,0
61,2,40,4,20,5,35,49,4,54,1,0,0,0,0,0,0
62,2,40,4,25,5,25,49,8,54,2,0,0,0,0,0,0
63,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,60,7,40,0,0,0,0,0,0,0,0,0,0,0,0
65,2,50,7,50,0,0,0,0,0,0,0,0,0,0,0,0
66,60,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2,35,15,30,16,20,4,15,0,0,0,0,0,0,0,0
68,14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,54,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,30,4,30,5,30,49,10,0,0,0,0,0,0,0,0
72,2,65,7,35,0,0,0,0,0,0,0,0,0,0,0,0
73,2,65,7,35,0,0,0,0,0,0,0,0,0,0,0,0
74,17,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,74,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,80,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,15,2,45,3,20,4,10,9,10,0,0,0,0,0,0
79,1,15,2,45,3,20,4,10,9,10,0,0,0,0,0,0
80,1,10,2,50,3,15,4,10,5,10,11,5,0,0,0,0
81,1,20,2,40,3,20,4,10,10,10,0,0,0,0,0,0
82,7,10,4,10,3,20,2,40,1,20,0,0,0,0,0,0
83,9,10,5,10,3,15,2,40,1,25,0,0,0,0,0,0
84,8,5,7,10,4,10,3,15,2,40,1,20,0,0,0,0
85,6,5,5,5,7,7,4,8,3,10,2,40,1,25,0,0
86,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,82,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,79,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,88,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,30,6,30,8,30,15,10,0,0,0,0,0,0,0,0
92,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,92,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2,10,4,18,14,18,15,18,9,18,16,18,0,0,0,0
95,101,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2,10,14,18,9,18,16,18,49,18,15,18,0,0,0,0
97,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,113,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,12,8,22,17,22,10,22,15,22,0,0,0,0,0,0
101,119,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,118,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,122,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,125,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,120,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,20,2,40,3,15,4,10,7,10,10,5,0,0,0,0
107,6,10,7,10,4,10,3,15,2,40,1,15,0,0,0,0
108,2,45,3,15,11,10,14,10,1,20,0,0,0,0,0,0
109,7,10,4,10,3,15,10,10,1,15,2,40,0,0,0,0
110,4,10,7,10,49,10,1,15,2,40,3,15,0,0,0,0
111,3,20,2,60,1,20,0,0,0,0,0,0,0,0,0,0
112,1,20,2,40,3,15,4,10,7,10,10,5,0,0,0,0
113,6,10,7,10,4,10,3,15,2,40,1,15,0,0,0,0
114,105,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,127,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2,50,5,30,7,10,6,5,4,5,0,0,0,0,0,0
118,1,50,2,50,0,0,0,0,0,0,0,0,0,0,0,0
119,2,45,3,18,4,17,7,15,8,5,0,0,0,0,0,0
120,2,40,3,15,4,15,5,25,6,5,0,0,0,0,0,0
121,2,35,3,15,4,15,15,20,16,15,0,0,0,0,0,0
122,2,82,3,5,4,5,11,5,14,3,0,0,0,0,0,0
123,138,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2,52,7,12,5,12,9,12,11,12,0,0,0,0,0,0
125,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,147,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2,50,3,15,4,15,9,15,10,5,0,0,0,0,0,0
128,2,40,3,18,4,17,7,18,8,7,0,0,0,0,0,0
129,2,44,3,15,4,14,9,20,10,7,0,0,0,0,0,0
130,2,60,7,10,5,10,9,10,15,10,0,0,0,0,0,0
